customer_id,recency_days,frequency,monetary,r_score,f_score,m_score,customer_segment
fd72bfd55bc619ca61770f47d298a78d,268,1,17.77,3,2,1,"Loyal Customers"
72b4eef5f33af34d338cab565eedecfb,261,1,17.77,3,2,1,"Loyal Customers"
e63ff7ae3729eaf3129add7373322482,260,1,17.77,3,2,1,"Loyal Customers"
ce57d3c9775ce4934c368865113e94a7,318,1,17.77,2,3,1,"At Risk"
c0e6a15a6ebe6629df053fd185f729d4,456,1,17.77,1,3,1,Others
8df587ce8a11ee97b3de9ef3405245c2,311,1,17.78,2,3,1,"At Risk"
73ff9bf43ef84c0a779324bacd35cfe7,343,1,17.78,2,3,1,"At Risk"
d9622c31104d945612cdb1e6aac3e8c2,328,1,17.78,2,3,1,"At Risk"
ee57da466f1eb99e4c99c052c0a3f7c9,232,1,17.78,3,2,1,"Loyal Customers"
994a3815cfc229c94b3a9ec93d33d7b9,218,1,17.78,3,1,1,"New Customers"
ef4a9733eb74af52637ca25f6d41b0d4,414,1,17.78,1,3,1,Others
266248a1e531cf473b1efdc0b642cd55,407,1,17.78,1,3,1,Others
1387e2d23533abc24be58c9b3a1f06b9,487,1,17.78,1,2,1,"Lost Customers"
8ae4f6962420bf836509d9a57f4f81f7,442,1,17.78,1,2,1,"Lost Customers"
5403307de6fa27256a706e5fc1624531,431,1,17.78,1,2,1,"Lost Customers"
88e02611f4805f72e50f4569621ff448,168,1,17.78,3,4,1,"Loyal Customers"
a92d630cae2f41beef0213b212a6ff30,185,1,17.78,3,4,1,"Loyal Customers"
dc0a596a36f033e89eeecbbbaa5603e9,411,1,17.85,1,3,1,Others
94510e601285af55c734ebb2deef6859,323,1,17.85,2,4,1,"At Risk"
460137bbe214bff87bb79f1c0aa1de66,606,1,17.86,1,3,1,Others
6d03352eec00b16dd668224560ff054e,83,1,17.87,4,1,1,"New Customers"
5e39953d1ba9f7f91224484c73f3b0bb,166,1,17.87,3,4,1,"Loyal Customers"
8086d53298aaeed911f410a81eb3b9b7,190,1,17.87,3,4,1,"Loyal Customers"
dba30f3c501abf84dd57a54fd03443ec,149,1,17.87,4,4,1,"Loyal Customers"
f327c66b64d68e69e89d4b90680787aa,105,1,17.97,4,1,1,"New Customers"
d1774572040fe4b9081e1abcc26f0783,105,1,17.97,4,1,1,"New Customers"
05f31c9645c6cd60123b1d035e274ee2,294,1,18.04,2,2,1,"At Risk"
287fd54e7f4b02e9b9dcf237e43b515d,84,1,18.06,4,1,1,"New Customers"
